model,BIC,harmonic mean,bridge sampling,thermodynamic integration
0,277499.3526785182,-408450.421148641,-408332.0874811149,-405136.9929577196
1,280872.4464780891,-405248.7670582291,-405081.54363430873,-405790.4587389316
2,278758.4746168498,-396341.5483142721,-396163.9158202356,-396738.9579597061
3,278884.7709343263,-402763.6369421899,-402602.9929698327,-403874.998252374
4,289218.8978958609,-405740.4860948394,-405586.0444708276,-405417.1986710944
5,269799.91720768955,-403193.9129091965,-403072.6904315193,-403453.0636004128
6,277612.2840923273,-405670.4962717135,-405500.8948593893,-406124.82527754817
7,269263.8852436912,-398959.84535706486,-398809.79476147215,-399453.167077698
8,272783.85752511234,-394862.4982482653,-394740.3811624249,-395744.1580850895
9,276204.75819367025,-399423.3445005021,-399303.09037034336,-399781.9162230841
10,289219.10384756967,-405796.69264192967,-405553.2389089571,-409888.54925065406
11,276488.9697863896,-399839.8800839946,-399714.835305017,-394580.2091538775
12,280224.29154248635,-412840.5597760768,-412716.9824565392,-416122.1519542403
13,276176.8195735873,-399438.6010281893,-399237.2733075824,-400144.0457520132
14,271752.3237339785,-406702.6250024652,-406546.1234451653,-407040.4515324428
15,278890.6640948287,-402727.6278930137,-402605.5025362696,-403779.1016209262
16,277175.87835044856,-408043.8745935208,-407845.8489241061,-408479.7862751907
17,282075.82163810305,-401457.4206572525,-401276.8411504914,-400534.0233685603
18,276213.429109462,-391799.5455563476,-391669.0892227498,-400222.7732841809
19,287860.4120216609,-400444.5229081436,-400324.549637872,-400899.8821096335
20,280276.837180998,-403367.91567474,-403212.0935400587,-403867.53780669376
21,272914.5746477397,-395056.8627970958,-394884.10503010143,-398883.62570384645
22,270893.88800428424,-398670.8654152088,-398499.5714753325,-398906.65022689593
23,271878.0006888958,-406233.0041388199,-406028.9256609957,-408260.8319935515
24,275875.86449931475,-404816.9509474471,-404635.5426353184,-405406.9207881958
25,276536.756459031,-399882.4244774146,-399710.0825720069,-400394.3423049977
26,271653.53206117084,-397936.1865026968,-397731.9333548311,-397959.236917888
27,275099.5916268417,-401430.3026054414,-401260.4070703961,-402640.8904949968
28,276114.31703511946,-406358.59303203336,-406173.0411808605,-406882.4452639107
29,275936.12552611943,-391398.1552427733,-391147.91902322497,-391971.5026292461
30,276172.2355465031,-406355.5297395431,-406181.5013768562,-406751.4231763381
31,279899.0150937778,-404405.66290023335,-404235.4294655384,-405613.3373911206
32,276224.78703442763,-391797.25702357816,-391545.896910159,-392082.00034060905
33,280851.3836887342,-387199.00506242376,-387019.7663203034,-376153.7961753308
34,288015.0322115713,-400543.7073780103,-400372.8111194238,-397214.6429659141
35,278996.9513440282,-402909.1602449477,-402692.8630322124,-403425.7158750181
36,274780.3894317264,-400978.08129193255,-400807.2264811105,-402224.0215087425
37,278882.99875909084,-402727.52597195975,-402555.6364300432,-394764.7139418467
38,280296.3853448344,-403334.1841162523,-403164.1163711738,-395313.1576012588
39,283588.3290688437,-405123.3153988151,-404949.9461580041,-389179.12881665525
40,284255.1549616257,-409956.9502020892,-409801.2497927055,-410235.7742574475
41,275260.1711749813,-401742.2894221373,-401535.220475218,-402194.3158342487
42,271324.43631430785,-403940.0213765482,-403809.7455927825,-404506.2171746174
43,274956.38468011987,-408910.0734432007,-408736.85157141177,-397278.1649887925
44,278468.8386142544,-395966.47199435055,-395761.4906155877,-396321.9122863298
45,280950.41106817644,-405325.1716554938,-405201.8656475315,-405707.3004125634
46,277724.9032306306,-401782.8028335931,-401610.5419992619,-401836.1081700136
47,273185.533697994,-407266.2142279071,-407015.15955080587,-407680.1949173052
48,281953.7656216527,-401300.5419186699,-401126.3211477491,-417337.04512023897
49,275908.5417853053,-391346.29742128495,-391222.3193855286,-376028.18579173065
50,279028.53207236546,-395340.2225837525,-395056.92112293537,-391989.0611786
51,271325.87435559306,-406713.7798676115,-406117.33935954527,-404367.7755188019
52,274408.11510490754,-406880.7503104362,-406710.44170708297,-407635.172990848
53,280314.3594153558,-396275.2375313681,-396071.3647028377,-396759.8300353692
54,274243.93383382907,-405090.5864323612,-404910.1053631394,-410154.2013876417
55,282168.38849036547,-412556.4002553795,-412430.5935918187,-412995.27925180335
56,280097.31979096594,-412645.1073620763,-412523.5733785775,-413618.6732824429
57,271907.5711938445,-406263.8863589239,-406092.4100740196,-407787.1986981861
58,286277.69999711745,-401462.60815235233,-401254.4473616709,-400532.1753900654
59,282400.8107427899,-413004.8814898684,-412880.6819594253,-413592.1879139677
60,271466.48365645355,-397674.7058353706,-397553.3083706007,-395870.4117339069
61,282999.4641720188,-396689.88609772414,-396539.7893089949,-397068.0781707987
62,276000.1158516095,-406166.567302221,-406043.3231904007,-400845.9497913092
63,273854.46048864047,-408539.2119726188,-408380.122942992,-410853.7249017649
64,278959.3065327523,-402910.5348834093,-402709.0114106221,-400982.4276629278
65,274570.0627439241,-405519.3921840072,-405346.6878257055,-403616.5017186462
66,277538.7838473831,-404325.6927242645,-404163.4677076261,-396311.0290805692
67,271015.77678073867,-398829.8120575392,-398624.39353724447,-395516.3481855255
68,282035.5476813149,-398257.2080920864,-398137.7656723177,-399157.6442741538
69,280312.5612257114,-396203.27478042536,-396075.2201766803,-395987.65447446745
70,275107.48681555525,-401480.9958497442,-401276.4180532164,-402169.8133596805
71,283464.0574443594,-404969.55188230606,-404810.6175998357,-404024.2012215808
72,276547.5340618664,-399812.4573989675,-399693.4317496676,-400819.1545503547
73,281044.7674065365,-387342.3497546681,-387223.4372983488,-387871.1796219121
74,284666.82785861945,-402680.8452397792,-402558.6442483408,-400811.0863899686
75,280316.0311647326,-396292.7394636662,-396081.7147726548,-406775.4431318407
76,275362.6969402439,-409552.40002823446,-409347.9529888614,-409190.8308280631
77,280794.90049525484,-402873.194750978,-402685.50603023067,-403423.6826746952
78,281989.6459790124,-401318.07870437374,-401109.7612728144,-401771.0192328801
79,274477.14514747664,-406936.27720507,-406735.11152522446,-419432.614203399
80,269238.13161104696,-399043.7988572317,-398752.3197388865,-399511.406719893
81,268092.8359375051,-406198.9782927321,-406027.6920073013,-406667.9921703801
82,292500.94164111605,-403897.5758009109,-403725.1607406856,-404506.1933342295
83,292376.8506335114,-403762.9632742789,-403475.7799862697,-403957.8750504523
84,282029.00833876577,-412419.2144982528,-412259.9058145229,-413167.2272436655
85,288260.5047537302,-401006.1328206871,-400850.7259967825,-401402.61793149606
86,283068.7593918476,-396730.4121669951,-396543.74711410655,-399074.7867029547
87,282115.2736101008,-401473.3720943137,-401262.6946301684,-402051.2625362636
88,287906.1501968741,-400500.20042970567,-400292.4001104576,-401044.6279576983
89,280501.3907356418,-404301.22325096047,-404145.5411194513,-405475.4079524995
90,274110.942564813,-404896.1148301647,-404696.4189692268,-406666.9304503042
91,271729.95412776613,-406700.1097519895,-406537.3883358153,-408642.9458338117
92,269278.9099833677,-398958.6520152111,-398807.3772293825,-402826.9040364596
93,267713.580400124,-405647.8090629312,-405522.913128199,-400342.7508064213
94,284603.9951113656,-402693.2563944623,-402574.54147546896,-403142.5432519308
95,276473.3993622693,-409554.8666658248,-409354.8684585991,-409931.87115766166
96,278903.8058122998,-396542.47685392114,-396368.5461117025,-399688.10227271967
97,269584.9705578124,-403681.5294936509,-403555.1838658239,-420540.5737903305
98,271429.37534837954,-397698.49277561816,-397500.2368339381,-398920.7902194222
99,277516.32783406234,-404330.382513913,-404168.2882490633,-409681.82117230527
100,287972.6827517728,-403749.38783357455,-403620.7465101383,-407498.5008383056
101,269619.4838242888,-403700.6940103353,-403539.7798496591,-404067.177924044
102,267721.07185580453,-405664.61731787416,-405527.82448124606,-406034.0157472852
103,264575.6838267221,-403477.68120770296,-403354.7085323497,-409571.2272785733
104,280782.0129341232,-403053.6531649083,-402716.7406775332,-403518.6350005324
105,292523.389949525,-403863.92676621134,-403701.61770213087,-406022.84417163045
106,269491.00225147844,-403593.109652903,-403416.30831721815,-462323.0230882462
107,292210.40634000493,-403467.5198856657,-403308.4596195243,-403665.0256964202
108,283125.0518150986,-396690.2127298099,-396568.1218527523,-396480.7588810855
109,279333.8446704885,-395737.2400400596,-395483.07494350855,-400313.0248428065
110,281915.7046492658,-398043.0473998197,-397923.4670674889,-399311.1568558213
111,276693.85416964523,-409839.6477203572,-409710.8280402361,-408932.581585818
112,263443.19753417594,-399727.998126552,-399475.1398051264,-400090.859741976
113,269591.57702873467,-399332.8449912923,-399212.2371993727,-405809.2271214492
114,272090.12770592864,-407176.8262434002,-407054.21853154,-407616.7947808227
115,274101.7852269882,-404900.95529378654,-404702.5137302853,-405258.06379698
116,284299.9678269966,-409917.78654477606,-409799.5247129867,-412041.9375056645
117,277253.37930104893,-407994.2461239949,-407867.116136442,-408372.1858467051
118,280467.4987573063,-402435.3978715135,-402312.2535830128,-408574.8258126354
119,264577.02375668124,-403476.9505157034,-403351.14289915,-404526.84798924497
120,280355.95824917016,-398464.5136081778,-398093.3605308968,-398594.12992187927
121,278988.47277497704,-395278.8274726115,-395129.0630428952,-397112.0416688556
122,292169.34340519184,-403499.7067699306,-403213.34212467074,-404678.4987020769
123,284246.3433100157,-409977.2911395444,-409776.52516661165,-410362.1794331855
124,280878.025883488,-387189.57746131846,-387037.4634372991,-382090.1869510583
125,277711.9348019448,-401803.7803488188,-401532.01765065774,-400794.2710744361
126,267719.65366951615,-405711.2785210764,-405513.4461496638,-403793.4951701029
127,271500.43227396405,-406418.6335907552,-406256.1650283167,-406738.9424869626
128,278621.0044223881,-396106.5165562055,-395868.2671660576,-395747.5490905321
129,269591.6105651928,-399403.2684604526,-399201.3993553602,-400407.3523335546
130,271184.852149224,-399098.71575356007,-398945.1527688752,-400622.1004244144
131,277713.7035340379,-401759.37120761577,-401618.4611648578,-402253.4842181782
132,269326.13529642124,-398940.48420419655,-398790.91094448726,-400317.0680999438
133,278990.52437892224,-402871.7394627311,-402747.2195188926,-403190.2944873231
134,283021.6111063925,-396715.1860308344,-396514.2780537102,-397409.1800858307
135,274391.5997592324,-406916.56027427287,-406757.968508189,-395313.2186837969
136,269866.0045788757,-403369.42030240566,-403216.73402456543,-404433.67950163136
137,271618.1623124121,-397939.1400012578,-397741.2032611422,-398311.824320128
138,264588.91859840666,-403473.5675802112,-403359.8731412715,-401627.1374662914
139,288250.1658594121,-400940.663041771,-400818.5733469875,-389556.7152922498
140,284434.7807464763,-410129.4942659214,-409975.85230932775,-412431.5928306822
141,277429.6908803342,-401386.8149613801,-401227.79774873646,-402130.9726196175
142,278902.6895246813,-402756.174259776,-402596.1451128995,-381531.7992703432
143,280497.5376145252,-404259.09083817486,-404141.1549563346,-400934.6359385181
144,282982.64812224393,-396689.145947394,-396567.9513746111,-391488.7809985445
145,282244.5238779781,-401479.0802357488,-401228.8197309669,-401959.9048907686
146,277452.8385107786,-401377.76257852966,-401214.26276539423,-403103.1490334848
147,263496.74711534544,-399664.1000085039,-399517.9924620376,-400116.8052235043
148,281280.0129086864,-387737.5203119456,-387484.0890717795,-388081.935270785
149,269801.4295242266,-403175.9023394885,-403058.678225508,-403847.17458474176
150,273621.8468383201,-408131.14381577447,-407972.29704511305,-396520.5891792218
151,271881.6245531135,-406273.8485865023,-406067.3914904329,-402883.84850623296
152,280120.8805599059,-403213.9121111725,-403057.2946021023,-403543.3370244682
153,277512.02985265065,-401384.0479701688,-401222.96855483,-402471.7161770647
154,275674.74590847833,-403999.7352635428,-403825.44890465727,-416181.51352899
155,292219.40508916473,-403464.5661922879,-403302.8532632277,-403919.4781957088
156,288183.1495433061,-404059.523595935,-403857.5233190694,-396004.9485279147
157,277807.9984831183,-404757.6072387578,-404505.8949817887,-405079.4856264094
158,278962.0104898634,-395304.4214116909,-395022.125240616,-395797.110794953
159,277241.5687415577,-408057.899094696,-407815.3021384543,-409171.0171190685
160,274840.9390388627,-401016.98629538,-400775.60653483326,-402548.1099677352
161,289204.09453928546,-405763.37531278655,-405524.6495917697,-402348.6072917795
162,267809.3334056122,-405882.4761433058,-405626.7343846054,-406435.1131393617
163,272927.50899428624,-395081.7183848959,-394881.7125993421,-389818.1275922568
164,275672.7070283814,-404039.4335713294,-403786.1282973912,-404462.9431743411
165,269559.32066112146,-399403.3277230837,-399152.6869586405,-399658.1958635656
166,283045.5888391586,-396695.0702443929,-396576.10852152575,-401551.2772247107
167,284243.2434188445,-409985.63663860527,-409747.61941002647,-411893.5801392816
168,280594.0051544313,-402589.0970851426,-402465.317470504,-391170.30946673406
169,267895.74411479494,-405950.13036492985,-405798.0026747783,-410088.1702707245
170,287869.5292049067,-400479.1818161149,-400313.8067835906,-401139.80531769
171,276144.62917301984,-406355.5556188226,-406235.3665370136,-406941.8071665086
172,263440.70585713995,-399647.9902270218,-399524.9821413151,-406018.7769079537
173,269559.078350965,-403527.9229831429,-403408.7620574781,-403892.34337964177
174,267825.53440834687,-405853.2474412097,-405689.2511417039,-406244.00781617686
175,280723.18642899813,-402839.3558921093,-402638.5955126338,-403205.9521303551
176,264569.32429014094,-403476.3633009866,-403354.31267613976,-405274.8942031831
177,269498.0545510891,-403537.18019548914,-403406.8815187185,-402756.97631232376
178,276342.41898314835,-391895.6968922961,-391743.699056862,-392410.8826996904
179,288966.370183938,-405252.7945715592,-405133.263705896,-407369.98288009065
180,277552.4984895632,-404293.4277423279,-404169.2267068698,-392818.6388057107
181,270837.1421675475,-398659.401264258,-398535.9725425465,-377706.9544982939
182,277251.27106625045,-408027.68667541706,-407866.4693691908,-414495.0813416587
183,276186.8597164957,-399489.3553739712,-399236.0054492926,-391477.6646619275
184,280096.32372378034,-403237.91808373947,-403002.9028888701,-404070.40403963753
185,269909.63222231297,-403467.5249380199,-403185.2684872956,-404538.9260385801
186,279477.16664440144,-409046.5350510178,-408840.3744033667,-410077.9664723442
187,280608.92701102165,-402607.4640144119,-402405.627223665,-391138.93597673264
188,276211.3125036447,-399489.5369780721,-399242.2682224259,-402771.9355011853
189,284775.775855553,-402889.65807039815,-402690.6909786758,-408638.4665041105
190,271863.63529907126,-406214.1203329674,-406086.2147015154,-411670.9280145232
191,282261.333399818,-401711.2886366599,-401506.2074874804,-414632.7978177152
192,273346.6628062499,-407392.03853941016,-407237.5610368728,-409447.1957288956
193,287945.2380167019,-403748.236245808,-403626.15732954186,-429735.7096900572
194,275924.2174974244,-404924.18934003945,-404801.7197898547,-389014.0599455883
195,271803.95534933294,-406657.0630694705,-406532.1162586405,-407272.28758579545
196,277641.54201784666,-405684.7286553226,-405478.4433044779,-405682.6594949687
197,283466.1990644279,-404926.0071697561,-404794.38330938574,-405464.14052303234
198,267801.89899276645,-405653.4011646954,-405528.2438424966,-369894.3856847043
199,278894.8188028933,-402767.9486518492,-402606.6442518336,-403521.622156922
200,275011.306423844,-408914.728318448,-408744.144493242,-409193.9985929904
201,274395.9855963819,-406889.7330780544,-406675.9546073789,-410005.8198094592
202,284529.63603786303,-410300.3637164937,-410092.3402750497,-411973.1171836252
203,289041.6097877929,-405483.8267372127,-405330.9846258257,-405808.6669864198
204,276021.8724424403,-404426.55025917833,-404269.8024417466,-408507.843531507
205,277597.0940386472,-404327.96774108446,-404167.8659275079,-404575.7795079919
206,272412.2182700084,-409742.91699903226,-409587.3992648301,-410817.3409095943
207,282118.6549745941,-412552.22499724815,-412431.3879465865,-413674.8361780387
208,292616.6453216001,-403990.7421615839,-403835.4608683442,-404667.21818145
209,283009.3941727856,-396688.05393000547,-396569.30198045634,-397197.97440766013
210,278788.12215674674,-396354.4823056312,-396220.3528611712,-396789.00834427855
